mitzi ulloa, https://www.instagram.com/mitziulloaarte/?hl=en
molly matutat, https://www.instagram.com/momomatute/
monica ascencio,
moscelyne parkeharrison, https://www.mzparkeharrison.com/about-
naby bangoura, https://www.instagram.com/bangouranaby/
natalie sklovskaya, https://www.raestudios-sf.com/natalie-sklovskaya
nehemiah aldrich, https://www.instagram.com/nehemiahdance/?hl=en
nicole klaymoon, https://ybca.org/artist/nicole-klaymoon/
ninja, https://www.instagram.com/theycallme.ninja/
norma fong, https://www.bopsidy.com/bop/NormaFong
patricia lam, https://www.instagram.com/pattychocolatecakes/
pilar marsh, https://www.rhythmandmotion.com/pilar-marsh
portsha jefferson, https://www.bopsidy.com/bop/PortshaJefferson
rama hall, https://www.instagram.com/rama_mahesh_hall/
ramon ramos alayo, https://www.instagram.com/ramonramosalayo/?hl=en
rebecca setziol, https://www.rhythmandmotion.com/rebecca-setziol
robert yu, https://www.instagram.com/rawbertyu/?hl=en
robin dekkers, https://www.instagram.com/robin_dekkers_/
ryan mead, https://www.ruedaconritmo.com/about
sal gomez, https://www.instagram.com/sal.gomez/
sam yoshikawa iii, https://www.instagram.com/samyoshi3/
samuel meleciozambrano, https://www.instagram.com/samuelmz1/
sandra chinn, https://www.instagram.com/sandrachinnballet/
sarah emmons, https://www.instagram.com/sarah___emmons/
shereen prince, https://www.bopsidy.com/bop/ShereenPrince
sila poe, https://www.instagram.com/silapoecharukesnant/
silvana sousa, https://www.bopsidy.com/bop/SilvanaSousaSamba
soumya, https://www.instagram.com/soumi1606/
stuck sanders, https://www.instagram.com/stucker___/
susana arenas, https://arenasdancecompany.com/
tamika banks, https://www.instagram.com/thisladybanks/
terence paschal, https://ybca.org/artist/terrence-paschal/
terence tse, https://www.instagram.com/tserence/
tiombe valone, https://www.bopsidy.com/bop/TiombeValone
trey russel, https://www.instagram.com/m_reindeer/
vincent tantra, https://www.instagram.com/v_tantra/
virginia matthews, https://www.bopsidy.com/bop/VirginiaMatthews
zak zodiak, https://www.instagram.com/zakzodiak_/?hl=en
